x_m,y_m,s_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
11.0613,15.7357,0.0,0.9315096746175304,0.10266508611953332,8.3840094832828,0.0
11.5313,16.3679,0.7877669960083372,1.017790777335252,0.08438522706014139,8.493688637639151,0.13922791245647817
12.0001,17.1274,1.6802991746999538,0.9451104364739558,0.08173724537592902,8.509576527744425,0.01780091573680241
12.486,17.7999,2.5099708326466383,1.0150700140769469,0.08988042018493246,8.460717478890405,-0.05888962023234429
12.9512,18.549,3.391765508293978,0.9379765208457574,0.07972237500645081,8.521665749961295,0.06911843851421177
13.444,19.2209,4.22501304054355,1.0062973038524603,0.09070035172650893,8.455797889640946,-0.07904957143109843
13.915,19.9647,5.105399001358464,0.9285426385511558,0.07667854817006416,8.539928710979614,0.09556129366351328
14.4144,20.6323,5.9391196500172345,0.9942639289185548,0.10728168722876365,8.356309876627417,-0.22024023831914183
14.8942,21.3702,6.819292615973358,0.9023580585712273,0.020088401604673848,8.879469590371956,0.5943828474398047
15.4102,22.0236,7.651871477103039,0.919621291224277,0.2027505588266701,7.783496647039979,-1.316359319818558
15.9473,22.7284,8.537997568582126,0.7449118243098339,0.14493699203475707,8.130378047791458,0.39145828577564834
16.5612,23.2945,9.373067876999325,0.6196501999866622,0.14628557569036177,8.122286545857829,-0.009689605596163381
17.2876,23.8127,10.265361662699979,0.48975067749956264,0.09680763324000546,8.419154200559968,0.33270169473278344
18.0663,24.2278,11.147791093306186,0.5667941371313002,0.21358056570572498,7.71851660576565,-0.7939871115959912
18.6643,24.6084,11.856635476792437,0.4157864710733657,0.02190933792814904,8.868543972431105,1.6223975155299517
19.3082,24.8927,12.560505990452443,0.4309243416825715,0.23195705718202217,7.608257656907867,-1.7905087527675605
19.9242,25.1759,13.238486993136146,0.26739271023993805,0.19634421719286346,7.821934696842819,0.3151667068680952
20.6287,25.3689,13.968945239718385,0.13028599035510102,0.16151508318367216,8.030909500897966,0.2860872678663361
21.2881,25.4553,14.63398156955308,0.24038978520385182,0.27904421468464635,7.325734711892122,-1.0603552879300984
21.9657,25.6214,15.331642640561057,0.04659611391600285,0.21211117365003745,7.727332958099775,0.5756351656936033
22.6541,25.6535,16.020790643532845,0.19521619283489575,0.2340930317611913,7.595441809432852,-0.19138290773269806
23.3515,25.7914,16.73169371006161,0.031467312953186215,0.06563440904557935,8.606193545726525,1.4217855905855412
24.0377,25.813,17.418233585087087,-0.01410363809615134,0.10521751551669102,8.368694906899854,-0.34593568045535095
24.7396,25.8031,18.120203399252908,0.05980882337952813,0.20158935800065417,7.7904638519960745,-0.8237263814412236
25.441,25.8451,18.822859759076113,-0.07992929057784515,0.027989893054948742,8.832060641670308,1.4823701160782337
26.1214,25.7906,19.505438992572124,-0.09925544114994586,0.02054994302051944,8.876700341876884,0.06539856183133703
26.8163,25.7214,20.203776053023592,-0.11360080955756878,0.1485067392068688,8.108959564758788,-1.09938426670605
27.5096,25.6423,20.90157380309162,-0.009879403654810002,0.15696032098676935,8.058238074079384,-0.07268795388700994
28.208,25.6354,21.600007887311452,-0.11928605336456372,0.1702274101468625,7.978635539118825,-0.11397286695920163
28.898,25.5527,22.29494622270532,-0.00042814325912970996,0.022598652018579336,8.864408087888524,1.27460596668289
29.5987,25.5524,22.99564628692681,0.015457568927035214,0.04213442899878292,8.747193426007302,-0.16728221940646365
30.3038,25.5633,23.70083053235491,0.04480260441808144,0.11433973518757681,8.31396158887454,-0.6143526885938269
30.9908,25.5941,24.388520607897668,-0.0343354515282209,0.208963397682788,7.746219613903272,-0.8255782585246386
31.6866,25.5702,25.08473095685838,0.11385895050952174,0.05494576017788007,8.67032543893272,1.3273370992099347
32.4028,25.6521,25.805598524446214,0.07669903860228612,0.07141587433983879,8.571504753960967,-0.13708576916898293
33.0326,25.7005,26.4372555516374,0.029861632855757377,0.10371059530744166,8.37773642815535,-0.3067619253240244
33.7122,25.7208,27.117158669735854,0.10196611423206771,0.12589084237344142,8.24465494575935,-0.19573594951027742
34.4188,25.7931,27.827447941793366,0.18876749433073775,0.021503242447306135,8.870980545316163,0.8817894683141141
35.0752,25.9185,28.49571893472962,0.17409028173943822,0.16235591453243556,8.025864512805386,-1.2646307283180143
35.7615,26.0392,29.19255189893266,0.2848497836683083,0.11948572621964511,8.28308564268213,0.3691288200909446
36.4015,26.2266,29.859424270530106,0.20149014393858522,0.175623501397041,7.9462589916177535,-0.5050841291528265
37.1148,26.3723,30.587452690305053,0.3320938625349607,0.031930217912980875,8.808418692522114,1.1842390729346481
37.8316,26.6195,31.34568094089982,0.35686790544200214,0.13775538797338924,8.173467672159665,-0.8374140898395488
38.5751,26.8967,32.13917453885761,0.4660237077198665,0.05341707657776977,8.679497540533381,0.6377239459474924
39.2813,27.2519,32.929671521774054,0.4207376764704946,0.10704974435332226,8.357701533880066,-0.40708062599567074
40.1073,27.6215,33.83459149613643,0.51626809956356,0.10170308336355637,8.389781499818662,0.035450610935182696
40.8719,28.0555,34.7137781429868,0.6068154358457415,0.013384165685427088,8.919695005887437,0.6027315223305083
41.6119,28.5692,35.614604258283194,0.6190451811732685,0.14883837971361974,8.106969721718281,-0.9021999588696948
42.3666,29.1069,36.54126135775419,0.7532346429510159,0.014463479748339931,8.913219121509961,0.8700622919221667
43.005,29.7055,37.41640507166637,0.7400085494754575,0.046898296565580345,8.718610220606518,-0.22237364881874913
43.7093,30.3486,38.37014303358253,0.7836863692399947,0.1002377346109365,8.398573592334381,-0.3355603331853844
