s_m,x_m,y_m,psi_rad,kappa_radpm,v_mps,a_mps2
0.0,11.0302,15.7681,0.982337194923563,0.04382659790520429,9.0,0.0
1.093536080794777,11.6372,16.6777,0.982337194923563,0.042457009547954665,9.0,0.0
2.2239119651801422,12.3064,17.5887,0.9372389768781904,0.06079884233889886,9.0,0.0
3.3778360528046267,12.9388,18.5539,0.9819234014479283,0.06406959898390473,9.0,0.0
4.486022431533403,13.6007,19.4427,0.9776743558455353,0.05881732266336914,9.0,0.0
5.665121350199689,14.2556,20.4232,0.9776743558455353,0.058704174208454536,9.0,0.0
6.797417963283029,14.8885,21.3621,0.8943146574515595,0.07380641518286048,9.0,0.0
7.918887829128739,15.5906,22.2366,0.8552792941352135,0.06987349697552704,9.0,0.0
9.077410750783724,16.3506,23.111,0.6345451549746405,0.07843864143257048,9.0,0.0
10.247597680295414,17.293,23.8047,0.5301272905591836,0.07914690790899177,9.0,0.0
11.390696293714221,18.2792,24.3827,0.5182737876723641,0.09529912988487381,9.0,0.0
12.300702277211034,19.0697,24.8335,0.46468163758508124,0.08966387861582885,9.0,0.0
13.252194431671594,19.9203,25.2599,0.26886349630163037,0.09974796175558588,9.0,0.0
14.192579246521342,20.8269,25.5097,0.26548967483158475,0.08464035880633318,9.0,0.0
15.124427351096333,21.7261,25.7542,0.17758824358343803,0.08285215789841498,9.0,0.0
16.05905970662443,22.6531,25.8734,0.12788507861991058,0.08982756131837766,9.0,0.0
17.014587670631766,23.5936,26.0422,0.018408051382571854,0.10184116862506915,9.0,0.0
17.93501205644518,24.514,26.0489,0.0072793151442371185,0.08728580148781158,9.0,0.0
18.874871290586125,25.4537,26.0662,-0.11503840806734554,0.09185332077101113,9.0,0.0
19.772202310890222,26.3451,25.9632,-0.11503840806734554,0.07945732369726405,9.0,0.0
20.726457648837044,27.2905,25.8335,-0.13633949789149225,0.07527709291585975,9.0,0.0
21.6483238647274,28.2101,25.7689,-0.07013272230071914,0.06982197985787664,9.0,0.0
22.582913079302443,29.1339,25.6273,-0.016092326537687957,0.07215921982459085,9.0,0.0
23.53827240437338,30.0889,25.6535,0.027427675163871318,0.08021339588746482,9.0,0.0
24.45179068552598,31.0023,25.6388,0.023593432480700744,0.08589872755343758,9.0,0.0
25.380211721478958,31.9302,25.6699,0.029552295875212447,0.08886085192059691,9.0,0.0
26.257655924833223,32.8074,25.6906,0.029552295875212447,0.08755056698343568,9.0,0.0
27.18496082075473,33.7343,25.718,0.10497625784221475,0.07249746304677696,9.0,0.0
28.06884684281866,34.6096,25.8409,0.13949705921214905,0.07417087702208021,9.0,0.0
29.017468959364546,35.553,25.9403,0.24471876761071437,0.07768860228124708,9.0,0.0
29.940002801562223,36.4275,26.2341,0.3241157506854847,0.0835881930906428,9.0,0.0
30.873207157531482,37.3329,26.4602,0.34640793450486335,0.08813675606649542,9.0,0.0
31.910844517113333,38.3089,26.8125,0.42413651934757163,0.08041424593373728,9.0,0.0
32.97734215424152,39.2809,27.2514,0.45127780792930017,0.07864112432683609,9.0,0.0
34.159597021010946,40.3448,27.767,0.5294967888056137,0.06073602589177524,9.0,0.0
35.38430717447584,41.4018,28.3856,0.6419568751642388,0.05438917821326312,9.0,0.0
36.588788610613406,42.3665,29.1068,0.7334739727433294,0.05231567761910156,9.0,0.0
37.795891133185535,43.2632,29.9149,0.8018975437343536,0.04975421806893861,9.0,0.0
39.00450112817979,44.1036,30.7835,0.8235800803710217,0.06436431010083092,9.0,0.0
40.227364865478435,44.9142,31.6991,0.8461505607562422,0.07963882272265868,9.0,0.0
41.48884354147736,45.7715,32.6245,0.8502833673763608,0.07948766285094165,9.0,-0.25006571584908066
42.71682129779056,46.5639,33.5626,0.8502833673763608,0.11353120820326,8.74993428415092,-1.6472680278177112
43.91860331629474,47.3568,34.4657,0.7514718600012985,0.12854119898310618,7.352731972182289,-2.580932801742337
45.17564328781514,48.2753,35.3239,0.6948746832344611,0.1569879062790209,6.366127679332166,-1.7298340717858647
46.39587317599196,49.2126,36.1052,0.4675994410863177,0.18337812205805512,6.366127679332166,-1.1246651477810135
47.629387346968514,50.3137,36.6612,0.1881124113106223,0.20302846878157277,6.366127679332166,-0.7529392637480532
48.787110776808305,51.451,36.8777,0.09799187444455137,0.2124632446658012,6.366127679332166,-0.5930775087427378
49.61196791595423,52.2719,36.9584,-0.26066177265884716,0.20594480206450558,6.366127679332166,-0.5930775087427378
50.37131907319309,53.0056,36.7627,-0.4531303832371486,0.2107675549881933,6.366127679332166,-0.6210158990581913
51.34509108963226,53.8811,36.3364,-0.8138720999332484,0.214028370968673,6.366127679332166,-0.5675855126611742
52.42549322309923,54.623,35.551,-1.133530220838085,0.2171645072209931,6.366127679332166,-0.5173375500668422
53.40881087269167,55.0394,34.6602,-1.3829884493155753,0.24122783119531685,6.366127679332166,-0.16499498093999065
54.392711909381845,55.2231,33.6936,-1.5020695653036997,0.21897780657733437,6.366127679332166,-0.16499498093999065
55.40039079176453,55.2923,32.6883,-1.5020695653036997,0.2438689451408912,6.366127679332166,-0.12953249750891427
56.41080967519852,55.3529,31.6797,-1.412241327296399,0.2538939800073121,6.366127679332166,0.0
57.39566321760978,55.5084,30.7072,-1.1938146927584559,0.2510631479626586,6.366127679332166,0.00521423662678
58.38611259541765,55.873,29.7863,-0.9193713634476535,0.2501335555743806,6.371341915958946,-0.042460370692833926
59.441165717302994,56.5127,28.9473,-0.5324013445003222,0.24798717416686158,6.371341915958946,-0.042460370692833926
