Laptime,Speed,Steering Angle,Steering,Theta,Right Distance,Desired Distance
112.42000000002061,8.167614084574053,0.0015880407719640925,0.004788880499023892,0.1256049105948989,0.8282740213385366,0.570635520518045
112.43000000002061,5.818273620138293,-0.05525495975889927,-0.1681933151401519,0.15813220400492084,0.8496935458469742,0.6722756785162254
112.44000000002062,5.039597722486801,-0.0779888269251332,-0.2396663300437875,0.1372822444825086,0.871188117072293,0.7265145970766189
112.45000000002062,4.387205567609094,-0.09992466093851934,-0.3109812835690772,0.016807277176888014,0.743031282146803,0.6812815040498206
112.46000000002063,6.159481064060026,-0.04623767727994096,-0.14034711368872096,0.12579654621937478,0.8215784160710546,0.6419019908639098
112.47000000002063,5.668821433632273,-0.059372441091943944,-0.18099236713401762,0.04874052231126197,0.8016520180464689,0.6526304752294706
112.48000000002064,6.873210083185854,-0.028889691290734466,-0.08734022023865617,0.024454475338006015,0.72578224185381,0.5527846265588046
112.49000000002064,6.752976276008575,-0.03168209766390102,-0.09583178987541598,0.03595016028293915,0.7438540121007642,0.5686002290013444
112.50000000002065,4.780397921312155,-0.08634368989680118,-0.2665108637495062,0.0760144220077291,0.8423243491163591,0.723430474431281
112.51000000002065,4.473354080997018,-0.09684774668682243,-0.3008069430294528,0.09694638356618474,0.8526082534869832,0.748072201277487
112.52000000002066,5.930576398596207,-0.05222997324502594,-0.15882513985441268,0.20307848164805678,0.9040375674889296,0.7045503808180418
112.53000000002066,7.737855793849732,-0.010140648515284787,-0.030589345827128373,0.13771842218817487,0.8432663671041699,0.5987842789713775
112.54000000002067,6.803388414078031,-0.03050528062044272,-0.09225153773365907,0.2849964557347287,0.9161302465163539,0.6723000680223596
112.55000000002067,5.975461088827155,-0.05103695216296733,-0.1551381125415379,0.10961849847130706,0.8460989366967204,0.6664577876715105
112.56000000002068,4.627352015092259,-0.09149229215392525,-0.2832400578659319,0.11001243659172727,0.859343499572704,0.7423032241535389
112.57000000002068,3.5594118447401475,-0.13300981897450326,-0.4249592201487771,-0.050621072793833904,0.7940617587529399,0.7802183702067715
112.58000000002069,2.914423846263377,-0.16464338907145543,-0.5446413191276418,-0.01699900163720164,0.828840919456778,0.8651607853588592
112.5900000000207,3.5268018542917767,-0.13446613143789451,-0.43020387349869743,0.14572456627976865,0.8809311702250013,0.833276253102931
112.6000000000207,4.635228493996825,-0.09122319116288592,-0.2823619167241739,0.001907597941738226,0.7311256646591394,0.6600363663276612
112.6100000000207,3.843280812280395,-0.12086876802210664,-0.3820516819925807,0.08903823616045901,0.8302055567135342,0.7749571884782402
112.62000000002071,3.728054045930306,-0.12568524542349424,-0.39890578633162954,0.12296296211012687,0.8683801761369562,0.808891269011559
112.63000000002071,3.0937608674295607,-0.1551947169687278,-0.5075065139096578,-0.07534775604511923,0.781266366124964,0.8160254920318162
112.64000000002072,4.113124467641609,-0.11013191552832573,-0.3451982041133647,0.03312207123952943,0.8470922356590798,0.7721951968476986
112.65000000002073,4.353081835435815,-0.10116017613604987,-0.31508423610533165,0.09793542068370831,0.8642585532021445,0.7639688119565127
112.66000000002073,4.744299393387988,-0.08754306619580109,-0.2703946410391098,0.11138693976041393,0.8026743990550953,0.6967921711279663
112.67000000002074,4.782437377438506,-0.08627619937719035,-0.2662925526525976,0.16922112180391052,0.8666786581256735,0.7357992495326959
112.68000000002074,6.934242468717462,-0.027490862093956847,-0.08309124426852303,0.18247646919497817,0.8573491675707497,0.633736651365977
112.69000000002075,7.655048662019057,-0.011843067416028998,-0.03572876269762156,0.10887717123030852,0.8195460662635095,0.586119832503673
112.70000000002075,5.269322990915847,-0.07093568625779133,-0.2172666751662512,0.09231683462171737,0.8689271941986146,0.7152666695689724
112.71000000002076,4.287643306256357,-0.10355683772784754,-0.32307269237491504,-0.05394941121196392,0.7116968997635518,0.6697192460825614
112.72000000002076,4.650471102087115,-0.09070372158576198,-0.2806679607187578,-0.03475847647080102,0.706193092478694,0.6433638383161167
112.73000000002077,4.050732275709506,-0.1125504840594004,-0.35341828742335124,-0.023304338181161427,0.7692073087515818,0.7241773832365553
112.74000000002077,4.760820864912359,-0.08699301055616875,-0.2686124884594418,0.18882453370793503,0.8754879551737063,0.7424475563776074
